symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,Power_to_Weight_Ratio,Engine_Efficiency,Cylinder_Number,Total_Displacement,Length_to_Width_Ratio,Length_to_Height_Ratio,Width_to_Height_Ratio
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,0.029715358,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,0.030894309,0.791666667,4,82.36566044,2.729532164,3.292768959,1.206349206
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,0.029212792,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,0.031544715,0.808333333,4,119.9755511,2.729532164,3.292768959,1.206349206
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,0.029212792,0.625,4,151.3895801,2.729532164,3.292768959,1.206349206
0,161,peugot,gas,turbo,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150,0.045367412,1.059701493,4,131.4223743,2.733528551,3.333928571,1.219642857
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,0.035453597,0.755555556,4,89.50870908,2.465517241,3.096456693,1.255905512
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,0.047932331,1.040816327,4,97.7765767,2.465517241,3.096456693,1.255905512
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,0.034570412,0.755555556,4,89.50870908,2.465517241,3.108695652,1.260869565
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,0.034188034,0.755555556,4,89.50870908,2.622257053,3.293307087,1.255905512
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,0.031036057,0.693877551,4,89.50870908,2.622257053,3.293307087,1.255905512
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,0.034714004,0.721311475,4,121.9875715,2.702786378,2.919732441,1.080267559
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,0.051475882,0.947019868,4,151.6710542,2.472913616,3.364541833,1.360557769
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,0.0413845,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,0.040816327,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,0.04063539,0.909090909,4,41.95537927,2.806015038,3.326203209,1.185383244
2,104,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,0.039883974,0.909090909,4,120.8633903,2.806015038,3.326203209,1.185383244
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150,0.056980057,1.32231405,4,120.8633903,2.806015038,3.326203209,1.185383244
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620,0.056199508,1.32231405,4,120.8633903,2.806015038,3.326203209,1.185383244
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118,0.033658537,0.711340206,4,97.15810078,2.474763407,2.921787709,1.180633147
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,0.034433962,0.675925926,4,108.6853331,2.482704403,2.940409683,1.184357542
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,0.032589286,0.675925926,4,108.6853331,2.465517241,2.824057451,1.145421903
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,0.038228438,0.759259259,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,0.037442922,0.759259259,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960,0.04017094,0.87037037,4,108.6853331,2.629969419,3.276190476,1.245714286
0,102,subaru,gas,std,four,sedan,4wd,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233,0.034381551,0.759259259,4,108.6853331,2.629969419,3.167587477,1.20441989
0,102,subaru,gas,turbo,four,sedan,4wd,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,0.044223108,1.027777778,4,108.6853331,2.629969419,3.167587477,1.20441989
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463,0.03580786,0.759259259,4,108.6853331,2.652905199,3.273584906,1.233962264
0,89,subaru,gas,std,four,wagon,fwd,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198,0.038289206,0.87037037,4,108.6853331,2.652905199,3.273584906,1.233962264
0,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,8013,0.033884298,0.759259259,4,108.6853331,2.654434251,3.162112933,1.191256831
0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,0.041886792,1.027777778,4,108.6853331,2.654434251,3.162112933,1.191256831
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,5348,0.031234257,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6338,0.030392157,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,6488,0.030769231,0.673913043,4,88.55073695,2.495283019,2.911926606,1.166972477
0,77,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,6918,0.027192982,0.673913043,4,88.55073695,2.668238994,2.871404399,1.076142132
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,7898,0.027074236,0.673913043,4,88.55073695,2.668238994,2.871404399,1.076142132
0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,8778,0.019935691,0.673913043,4,88.55073695,2.668238994,2.871404399,1.076142132
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,6938,0.033637674,0.714285714,4,96.86655784,2.582298137,3.137735849,1.21509434
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,7198,0.033191086,0.714285714,4,96.86655784,2.582298137,3.149621212,1.21969697
0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,0.024615385,0.509090909,4,112.5356659,2.582298137,3.137735849,1.21509434
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,0.024615385,0.509090909,4,112.5356659,2.582298137,3.149621212,1.21969697
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,7738,0.033428844,0.714285714,4,96.86655784,2.582298137,3.137735849,1.21509434
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,8358,0.032987747,0.714285714,4,96.86655784,2.582298137,3.149621212,1.21969697
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,9258,0.03271028,0.714285714,4,96.86655784,2.582298137,3.149621212,1.21969697
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8058,0.032272937,0.714285714,4,96.86655784,2.6359375,3.207224335,1.216730038
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,8238,0.031760436,0.714285714,4,96.86655784,2.6359375,3.207224335,1.216730038
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298,0.049448124,1.142857143,4,101.5758838,2.6359375,3.207224335,1.216730038
1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538,0.048695652,1.142857143,4,101.5758838,2.6359375,3.207224335,1.216730038
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449,0.045669291,0.794520548,4,144.0904037,2.68597561,3.388461538,1.261538462
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639,0.045741325,0.794520548,4,144.0904037,2.68597561,3.388461538,1.261538462
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989,0.045472364,0.794520548,4,144.0904037,2.68597561,3.388461538,1.261538462
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199,0.043299739,0.794520548,4,144.0904037,2.68597561,3.388461538,1.261538462
2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549,0.042741341,0.794520548,4,144.0904037,2.68597561,3.388461538,1.261538462
2,134,toyota,gas,std,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669,0.038991597,0.794520548,4,144.0904037,2.68597561,3.324528302,1.237735849
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948,0.03955288,0.754098361,4,121.8453956,2.640601504,3.198542805,1.21129326
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698,0.029435484,0.663636364,4,112.5356659,2.640601504,3.198542805,1.21129326
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988,0.038111019,0.754098361,4,121.8453956,2.640601504,3.257884972,1.233766234
-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898,0.038111019,0.754098361,4,121.8453956,2.640601504,3.198542805,1.21129326
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248,0.037428804,0.754098361,4,121.8453956,2.640601504,3.257884972,1.233766234
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558,0.054099462,0.941520468,6,168.8034988,2.710487445,3.528846154,1.301923077
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998,0.053381963,0.941520468,6,168.8034988,2.710487445,3.528846154,1.301923077
-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690,0.049824337,0.912280702,6,168.8034988,2.82406015,3.471349353,1.229205176
2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7775,0.022998673,0.536082474,4,96.77468824,2.621374046,3.082585278,1.175942549
2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,7975,0.03847895,0.779816514,4,108.6951474,2.621374046,3.082585278,1.175942549
2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46,7995,0.022968198,0.536082474,4,96.77468824,2.621374046,3.082585278,1.175942549
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8195,0.038426763,0.779816514,4,108.6951474,2.621374046,3.082585278,1.175942549
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34,8495,0.037362637,0.779816514,4,108.6951474,2.621374046,3.082585278,1.175942549
2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42,9495,0.029322984,0.701030928,4,96.77468824,2.621374046,3.082585278,1.175942549
2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32,9995,0.043478261,0.917431193,4,108.6951474,2.621374046,3.082585278,1.175942549
3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,165.7,64,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980,0.040522287,0.825688073,4,108.6951474,2.5890625,3.223735409,1.245136187
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940,0.039148352,0.808510638,4,141.3982473,2.80952381,3.359430605,1.195729537
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415,0.03757416,0.808510638,4,141.3982473,2.80952381,3.283478261,1.168695652
-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985,0.038841567,0.808510638,4,141.3982473,2.80952381,3.359430605,1.195729537
-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515,0.037475345,0.808510638,4,141.3982473,2.80952381,3.283478261,1.168695652
-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420,0.05320197,1.246153846,4,129.6813633,2.80952381,3.359430605,1.195729537
-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950,0.051314539,1.246153846,4,129.6813633,2.80952381,3.283478261,1.168695652
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845,0.038617886,0.808510638,4,141.3982473,2.740203193,3.401801802,1.241441441
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045,0.052476222,1.134751773,4,141.3982473,2.744186047,3.401801802,1.23963964
-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485,0.044488712,0.774566474,6,173.3361243,2.740203193,3.401801802,1.241441441
-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,22470,0.032949953,0.731034483,6,145.1620324,2.740203193,3.401801802,1.241441441
-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625,0.037230568,0.808510638,4,141.3982473,2.740203193,3.401801802,1.241441441
